ID Respondenta,Rola (Člen/Recepcia/Tréner/Admin),Vek,Pohlavie,Skúsenosti (žiadne/mierne/pokročilé),Poznámka,Úloha 1,Úloha 2,Úloha 3,Úloha 4,Úloha 5,Celkový dojem a zhodnotenie.,URL:https://forms.gle/LMTXdhXBVFnYAApr9
R12,Recepcia,22,M,pokročilé,,"U1r:  , Č: 0.17   ,Ch: N   , Idea:ok","U:2r  , Č:0.32    ,Ch: N   , Idea:nesedi cas transakcii","U:3r  , Č:0.38    ,Ch: N   , Idea:nevidel hned ci sa sprava poslala","U:  , Č:    ,Ch:    , Idea:","U:  , Č:    ,Ch:    , Idea:","Dobre sa to na telefone robí, všetko je jasne, lepšie farby v burger menu, prehladne, dobre obladatelne.",
R13,Admin,22,M,mierne,,"U:1a  , Č: 2.02   ,Ch: N   , Idea: nic","U:2a  , Č:0.17    ,Ch:N    , Idea:nic","U:3a  , Č: 1.00   ,Ch:N    , Idea: poslat spravu nebolo jasne ci sa poslala,sklad malu ked >10","U:  , Č:    ,Ch:    , Idea:","U:  , Č:    ,Ch:    , Idea:","Intuitivne, lahko dostupne infomacie, všetko dostupne na 3 kliky, prehladne, moznost zmenenia layoutu štatistik.",
R14,Admin,24,Ž,žiadne,,"U:1a  , Č: 1.30   ,Ch: N   , Idea:checknut zmrazenie uctov a nastavovanie permanentie, a interpunkciu plus poriesit refresh aby hodil rovnaku stranu pred refreshu","U: 2a , Č:0.22    ,Ch: N   , Idea:vacsie grafy","U:3a  , Č: 0.40   ,Ch: N   , Idea:nic","U:  , Č:    ,Ch:    , Idea:","U:  , Č:    ,Ch:    , Idea:",Na to ze to je nativna aplikacia je dobre lahka na ovladanie.,
R15,Admin,18,Ž,mierne,,"U1a:  , Č:1.41    ,Ch:A    , Idea:trošku zmatok inak ok","U:2a  , Č: 0.35   ,Ch: N   , Idea:ok","U:3a  , Č:0.50    ,Ch:N   , Idea:nic","U:  , Č:    ,Ch:    , Idea:","U:  , Č:    ,Ch:    , Idea:","Prehľadne, trošku problem ked trebalo zamraziť učet, vizual super, chyba biela tema ako pozadie.",
R16,Admin,21,M,žiadne,,"U:1a  , Č:1.20    ,Ch: A   , Idea:zmenil rolu , nie permanentku, potom uz vedel , mrazenie chvilu hladal potom uz okay","U:2a  , Č: 0.20   ,Ch: A   , Idea:ok","U:3a  , Č:0.37    ,Ch: N   , Idea:ok","U:  , Č:    ,Ch:    , Idea:","U:  , Č:    ,Ch:    , Idea:","Dosť prehľadné, chyba legenda pre sprav u profilov, minimalisticke, chcelo by aby to bola aplikacia.",
R17,Tréner,21,Ž,mierne,,"U:1t  , Č:0.35    ,Ch:N    , Idea:nic","U:2t , Č:0.36    ,Ch:A    , Idea:nevie najst, len cez sekciu spravy, chyba tlacidlo","U:  , Č:    ,Ch:    , Idea:","U:  , Č:    ,Ch:    , Idea:","U:  , Č:    ,Ch:    , Idea:","Super, je to prehladne, chybalo tlačidlo na poslanie spravy klientovi,dizajn je pekny.",
R18,Tréner,29,Ž,žiadne,,"U:1t  , Č:0.30    ,Ch:  A  , Idea: v moji klienti chcel pridavat klienta , ale az potom si vsimol ze to je napravo, nie az tak intuitivne","U:2t  , Č:0.16    ,Ch: N   , Idea:okay, mozno enterom sprava odoslanie","U:  , Č:    ,Ch:    , Idea:","U:  , Č:    ,Ch:    , Idea:","U:  , Č:    ,Ch:    , Idea:","Organizované, vidim čo kde prečo ako načo, sposob posielat fotky v chate s klientom, alebo celkovo prilohy subory, chybaju notifikacie.",
R19,Tréner,39,Ž,žiadne,,"U:1t  , Č:0.22    ,Ch:N    , Idea:nic","U:2t  , Č:0.13    ,Ch: N   , Idea:nic","U:  , Č:    ,Ch:    , Idea:","U:  , Č:    ,Ch:    , Idea:","U:  , Č:    ,Ch:    , Idea:","Prehladne, inak všetko v poriadku, moznost customizacie.",
R20,Tréner,44,M,pokročilé,,"U:1t  , Č:  0.40   ,Ch:N    , Idea:responzivita pri zobrazovaní tabulky treningov za tyzden","U:2t  , Č:   0.25 ,Ch:A    , Idea:nefunguje chat na mobile vobec","U:  , Č:    ,Ch:    , Idea:","U:  , Č:    ,Ch:    , Idea:","U:  , Č:    ,Ch:    , Idea:",Vylepšit zobrazenie na mobil.,
R21 ,Člen,13,Ž,žiadne ,,"U:1u , Č:1.20   ,   Ch:N , Idead :pridat zobrazenie hesla pri logine","U:2u, Č: 0.28   , Ch:N    , Idea:ok","U:3u , Č: 0.30  ,   Ch:A , Idea :nevedela najst denne lekcie, hladala to na dashboarde","U:4u, Č:0.20    , Ch:N    , Idea:ok","U:  , Č:   , Ch: ,    Idea:","Jednoduché, neukazuje heslo pri logine, mobilny layaut pri správach, dobre ze ukazuje počet ludi vo fitku, notifikacie.",
R22,Admin,46,M,žiadne,," U:1t,  Č: 2.20  , Ch:A   ,Idea: nevedel najst burger menu,nevidel tlačidlo na zrušenie permanentky"," U:2t,  Č: 1.18  , Ch: N  ,Idea:ok "," U:3t,  Č: 0.47  , Ch: N  ,Idea: ok"," U:4t,  Č:   , Ch:   ,Idea: ","U:  , Č:   , Ch:   ,   Idea: ","Prehladna aplikácia, urcite by pomohla, pouzitie svetlejšich farieb alebo nastavenie svetleho režimu.",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"1. Rola: BEŽNÝ ČLEN
Cieľ: Overiť intuitívnosť kľúčových funkcií pre koncového používateľa.

Úloha 1 (Registrácia a prvé kroky): „Predstav si, že si si práve stiahol aplikáciu nášho fitka. Chceš začať cvičiť, ale ešte nemáš účet. Skús sa zaregistrovať ako nový člen. Keď to budeš mať, odhlás sa a znova sa prihlás, aby si si overil, že tvoje údaje fungujú“.

Úloha 2 (Rezervácia a správa lekcií): „Dnes máš chuť na tréning a videl si, že je otvorená skupinová lekcia. Nájdi si túto lekciu, zisti, či je tam voľné miesto, a rezervuj si ho. Následne si v sekcii 'Moje lekcie' over, či tam rezerváciu vidíš. Potom si to rozmysli a skús túto rezerváciu zrušiť“.

Úloha 3 (Vstup a predplatné): „Stojíš pred turniketom a zabudol si si kartu. Nájdi v aplikácii svoj QR kód na vstup a popritom skontroluj, koľko dní ti ešte platí aktuálne členstvo. Ak zistíš, že ti končí alebo žiadne nemáš, skús si predplatiť nové predplatné“.

Úloha 4 (Komunikácia s trénerom): „Potrebuješ sa poradiť o svojom tréningu. Nájdi v systéme sekciu správ, vyhľadaj trénera menom Ivan Stolár a napíš mu krátku správu, že dnes na tréning budeš meškať.“",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,, ,
"2. Rola: RECEPČNÝ
Cieľ: Overiť efektivitu obsluhy zákazníkov pri pulte.

Úloha 1 (Hromadný Check-in): „K pultu prišla skupinka cvičencov (Karol Čonka, Jurko Čonka, Kristián Badžo a Ado Figa). Všetci si zabudli mobil aj kartu. Nájdi ich postupne v systéme podľa mena a urob im manuálny check-in. Potom si v sekcii 'Vstupy dnes' over, či systém ich vstup správne zaznamenal“.

Úloha 2 (Pokladničný predaj): „Zákazník si chce kúpiť drobnosti k tréningu. Pridaj mu do košíka 2x 'Proteínový bar' a 1x 'Voda 0,5L'. Dokonči platbu kartou a uisti sa, že sa predaj korektne uložil do zoznamu dnešných transakcií“.

Úloha 3 (Krízová komunikácia): „Zajtra bude fitko z technických príčin zatvorené. Pošli všetkým členom hromadnú správu (notifikáciu), aby si ich na toto dôležité obmedzenie včas upozornil.“",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"3. Rola: TRÉNER
Cieľ: Overiť správu klientely a prehľadnosť tréningového rozvrhu.

Úloha 1 (Akvizícia klientov): „Ako tréner máš konzultáciu s novými záujemcami (Karol Čonka, Jurko Čonka, Kristián Badžo, Ado Figa). Pozri sa na zoznam svojich aktuálnych klientov a pridaj si týchto nových ľudí k sebe vyhľadaním podľa mena. Potom si skontroluj svoj týždenný rozvrh lekcií, aby si vedel, kedy s nimi môžeš počítať“.

Úloha 2 (Individuálna starostlivosť): „Tvoj zverec Karol Čonka včera neprišiel na tréning. Nájdi ho vo svojom zozname klientov a pošli mu osobnú správu s otázkou, či je v poriadku a kedy sa vidíte nabudúce.“",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"4. Rola: ADMIN
Cieľ: Testovanie pokročilých admin nástrojov, analytiky a skladu.

Úloha 1 (Správa používateľských účtov): „Máš pred sebou dve administratívne zmeny. Najprv nájdi profil Jána Nováka, nastav mu 'Premium' permanentku s dnešným dátumom a over, či je aktívna. Potom nájdi Jozefa Maka, zruš mu jeho aktívnu permanentku a úplne mu zmraz (deaktivuj) účet“.

Úloha 2 (Business report): „Majiteľ fitka potrebuje report o výkonnosti za posledný mesiac. Zisti v sekcii štatistík celkový obrat za aktuálny mesiac a nájdi informáciu, v ktorú hodinu počas dňa máme najväčšiu návštevnosť (na základe dát za posledných 30 dní)“.

Úloha 3 (Marketing a skladové hospodárstvo): „Pošli všetkým členom hromadnú správu o novinkách vo fitku. Následne prejdi do sekcie skladových zásob, skontroluj aktuálne počty tovaru na sklade a na základe nízkych stavov urob záver (napr. čo treba urýchlene doobjednať).“",,,,,,,,,,,,
